id,name,category,workoutType,level,raceDistanceTags,surface,durationRangeMinutes,distanceRangeKm,intensityTarget,formulaHooks,safetyFlags,confidenceLabel
wkt_0037,30 min Recovery Run — Beginner road,Recovery Run,continuous,beginner,general | 5K,road,"[25, 40]","[3.0, 5.5]",Zone 1 / RPE 1-2 / relaxed conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0038,30 min Recovery Run — Beginner Intermediate road,Recovery Run,continuous,beginner-intermediate,general | 5K | 10K,road,"[25, 40]","[3.0, 5.5]",Zone 1 / RPE 1-2 / relaxed conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0039,30 min Recovery Run — Intermediate road,Recovery Run,continuous,intermediate,general | 5K | 10K | halfMarathon,road,"[25, 40]","[3.0, 5.5]",Zone 1 / RPE 1-2 / relaxed conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0040,30 min Recovery Run — Beginner track,Recovery Run,continuous,beginner,general | 5K,track,"[25, 40]","[3.0, 5.5]",Zone 1 / RPE 1-2 / relaxed conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0041,30 min Recovery Run — Beginner Intermediate track,Recovery Run,continuous,beginner-intermediate,general | 5K | 10K,track,"[25, 40]","[3.0, 5.5]",Zone 1 / RPE 1-2 / relaxed conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0042,30 min Recovery Run — Intermediate track,Recovery Run,continuous,intermediate,general | 5K | 10K | halfMarathon,track,"[25, 40]","[3.0, 5.5]",Zone 1 / RPE 1-2 / relaxed conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0043,30 min Recovery Run — Beginner treadmill,Recovery Run,continuous,beginner,general | 5K,treadmill,"[25, 40]","[3.0, 5.5]",Zone 1 / RPE 1-2 / relaxed conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0044,30 min Recovery Run — Beginner Intermediate treadmill,Recovery Run,continuous,beginner-intermediate,general | 5K | 10K,treadmill,"[25, 40]","[3.0, 5.5]",Zone 1 / RPE 1-2 / relaxed conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0045,30 min Recovery Run — Intermediate treadmill,Recovery Run,continuous,intermediate,general | 5K | 10K | halfMarathon,treadmill,"[25, 40]","[3.0, 5.5]",Zone 1 / RPE 1-2 / relaxed conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0046,25 min Easy Run — Beginner road,Easy Run,continuous,beginner,general | 5K,road,"[20, 35]","[2.8, 5.2]",Zone 2 / RPE 2-4 / conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0047,25 min Easy Run — Beginner Intermediate road,Easy Run,continuous,beginner-intermediate,general | 5K | 10K,road,"[20, 35]","[2.8, 5.2]",Zone 2 / RPE 2-4 / conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0048,25 min Easy Run — Intermediate road,Easy Run,continuous,intermediate,general | 5K | 10K | halfMarathon,road,"[20, 35]","[2.8, 5.2]",Zone 2 / RPE 2-4 / conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0049,25 min Easy Run — Intermediate Advanced road,Easy Run,continuous,intermediate-advanced,5K | 10K | halfMarathon | marathon,road,"[20, 35]","[2.8, 5.2]",Zone 2 / RPE 2-4 / conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0050,25 min Easy Run — Beginner track,Easy Run,continuous,beginner,general | 5K,track,"[20, 35]","[2.8, 5.2]",Zone 2 / RPE 2-4 / conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0051,25 min Easy Run — Beginner Intermediate track,Easy Run,continuous,beginner-intermediate,general | 5K | 10K,track,"[20, 35]","[2.8, 5.2]",Zone 2 / RPE 2-4 / conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0052,25 min Easy Run — Intermediate track,Easy Run,continuous,intermediate,general | 5K | 10K | halfMarathon,track,"[20, 35]","[2.8, 5.2]",Zone 2 / RPE 2-4 / conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0053,25 min Easy Run — Intermediate Advanced track,Easy Run,continuous,intermediate-advanced,5K | 10K | halfMarathon | marathon,track,"[20, 35]","[2.8, 5.2]",Zone 2 / RPE 2-4 / conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0054,25 min Easy Run — Beginner trail,Easy Run,continuous,beginner,general | 5K,trail,"[20, 35]","[2.8, 5.2]",Zone 2 / RPE 2-4 / conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0055,25 min Easy Run — Beginner Intermediate trail,Easy Run,continuous,beginner-intermediate,general | 5K | 10K,trail,"[20, 35]","[2.8, 5.2]",Zone 2 / RPE 2-4 / conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0056,25 min Easy Run — Intermediate trail,Easy Run,continuous,intermediate,general | 5K | 10K | halfMarathon,trail,"[20, 35]","[2.8, 5.2]",Zone 2 / RPE 2-4 / conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0057,25 min Easy Run — Intermediate Advanced trail,Easy Run,continuous,intermediate-advanced,5K | 10K | halfMarathon | marathon,trail,"[20, 35]","[2.8, 5.2]",Zone 2 / RPE 2-4 / conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0058,25 min Easy Run — Beginner treadmill,Easy Run,continuous,beginner,general | 5K,treadmill,"[20, 35]","[2.8, 5.2]",Zone 2 / RPE 2-4 / conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0059,25 min Easy Run — Beginner Intermediate treadmill,Easy Run,continuous,beginner-intermediate,general | 5K | 10K,treadmill,"[20, 35]","[2.8, 5.2]",Zone 2 / RPE 2-4 / conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0060,25 min Easy Run — Intermediate treadmill,Easy Run,continuous,intermediate,general | 5K | 10K | halfMarathon,treadmill,"[20, 35]","[2.8, 5.2]",Zone 2 / RPE 2-4 / conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0061,25 min Easy Run — Intermediate Advanced treadmill,Easy Run,continuous,intermediate-advanced,5K | 10K | halfMarathon | marathon,treadmill,"[20, 35]","[2.8, 5.2]",Zone 2 / RPE 2-4 / conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0062,25 min Easy Run — Beginner mixedRoadTrail,Easy Run,continuous,beginner,general | 5K,road | trail,"[20, 35]","[2.8, 5.2]",Zone 2 / RPE 2-4 / conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0063,25 min Easy Run — Beginner Intermediate mixedRoadTrail,Easy Run,continuous,beginner-intermediate,general | 5K | 10K,road | trail,"[20, 35]","[2.8, 5.2]",Zone 2 / RPE 2-4 / conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0064,25 min Easy Run — Intermediate mixedRoadTrail,Easy Run,continuous,intermediate,general | 5K | 10K | halfMarathon,road | trail,"[20, 35]","[2.8, 5.2]",Zone 2 / RPE 2-4 / conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0065,25 min Easy Run — Intermediate Advanced mixedRoadTrail,Easy Run,continuous,intermediate-advanced,5K | 10K | halfMarathon | marathon,road | trail,"[20, 35]","[2.8, 5.2]",Zone 2 / RPE 2-4 / conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0066,30 min Easy Run — Beginner road,Easy Run,continuous,beginner,general | 5K,road,"[25, 40]","[3.3, 6.2]",Zone 2 / RPE 2-4 / conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0067,30 min Easy Run — Beginner Intermediate road,Easy Run,continuous,beginner-intermediate,general | 5K | 10K,road,"[25, 40]","[3.3, 6.2]",Zone 2 / RPE 2-4 / conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0068,30 min Easy Run — Intermediate road,Easy Run,continuous,intermediate,general | 5K | 10K | halfMarathon,road,"[25, 40]","[3.3, 6.2]",Zone 2 / RPE 2-4 / conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0069,30 min Easy Run — Intermediate Advanced road,Easy Run,continuous,intermediate-advanced,5K | 10K | halfMarathon | marathon,road,"[25, 40]","[3.3, 6.2]",Zone 2 / RPE 2-4 / conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0070,30 min Easy Run — Beginner track,Easy Run,continuous,beginner,general | 5K,track,"[25, 40]","[3.3, 6.2]",Zone 2 / RPE 2-4 / conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0071,30 min Easy Run — Beginner Intermediate track,Easy Run,continuous,beginner-intermediate,general | 5K | 10K,track,"[25, 40]","[3.3, 6.2]",Zone 2 / RPE 2-4 / conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0072,30 min Easy Run — Intermediate track,Easy Run,continuous,intermediate,general | 5K | 10K | halfMarathon,track,"[25, 40]","[3.3, 6.2]",Zone 2 / RPE 2-4 / conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0073,30 min Easy Run — Intermediate Advanced track,Easy Run,continuous,intermediate-advanced,5K | 10K | halfMarathon | marathon,track,"[25, 40]","[3.3, 6.2]",Zone 2 / RPE 2-4 / conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0074,30 min Easy Run — Beginner trail,Easy Run,continuous,beginner,general | 5K,trail,"[25, 40]","[3.3, 6.2]",Zone 2 / RPE 2-4 / conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0075,30 min Easy Run — Beginner Intermediate trail,Easy Run,continuous,beginner-intermediate,general | 5K | 10K,trail,"[25, 40]","[3.3, 6.2]",Zone 2 / RPE 2-4 / conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0076,30 min Easy Run — Intermediate trail,Easy Run,continuous,intermediate,general | 5K | 10K | halfMarathon,trail,"[25, 40]","[3.3, 6.2]",Zone 2 / RPE 2-4 / conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0077,30 min Easy Run — Intermediate Advanced trail,Easy Run,continuous,intermediate-advanced,5K | 10K | halfMarathon | marathon,trail,"[25, 40]","[3.3, 6.2]",Zone 2 / RPE 2-4 / conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0078,30 min Easy Run — Beginner treadmill,Easy Run,continuous,beginner,general | 5K,treadmill,"[25, 40]","[3.3, 6.2]",Zone 2 / RPE 2-4 / conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0079,30 min Easy Run — Beginner Intermediate treadmill,Easy Run,continuous,beginner-intermediate,general | 5K | 10K,treadmill,"[25, 40]","[3.3, 6.2]",Zone 2 / RPE 2-4 / conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
