methodId,methodName,category,route,formulaDisplay,requiredInputs,optionalInputs,outputUnits,confidenceLabel,limitation,sourceNote,implementationStatus,relatedModules
mtd_034,30-Minute LTHR Estimate,Field Test,/field-tests,estimatedLTHR = averageHR_last20min,averageHR_last20min,,bpm,Field Estimate,Requires reliable HR data and controlled 30-minute effort.,Common field LTHR test convention.,readyForImplementation,Field Test Protocols | Heart Rate Zone Calculator
mtd_035,Time Trial Pace,Field Test,/field-tests,testPace = finishTime / testDistance,finishTime | testDistance,,pace | speed,Formula,Exact from input; result quality depends on route accuracy and effort validity.,Core field test calculation.,readyForImplementation,Field Test Protocols | Pace Calculator
mtd_036,Field Test Pacing Stability,Field Test Quality,/field-tests,stability% = abs(firstHalfPace - secondHalfPace) / averagePace × 100,firstHalfPace | secondHalfPace | averagePace,,percent,Quality Check,Only meaningful on comparable halves of the same route/test.,Field test quality-control metric.,readyForImplementation,Field Test Protocols | Race Analyzer
mtd_037,Estimated MET from VO2,Metabolic Estimate,/field-tests,MET = VO2_ml_kg_min / 3.5,VO2_ml_kg_min,,MET,Estimate,MET is an estimate and not a direct lab measurement when VO2 is estimated.,Standard metabolic conversion.,readyForImplementation,VO2 Lab | Field Test Protocols
mtd_038,2-Point Critical Speed,Critical Speed,/critical-speed,CS = (D2 - D1) / (T2 - T1),D1 | T1 | D2 | T2,,m/s | km/h | sec/km,Model Estimate,"Unstable if trials are not maximal, too close in duration, or measured poorly.",Linear distance-time critical speed model.,readyForImplementation,Critical Speed Lab | Field Test Protocols
mtd_039,2-Point D Prime,Critical Speed,/critical-speed,D′ = D1 - CS × T1,D1 | T1 | criticalSpeed,,m,Model Estimate,D′ is model-derived and sensitive to trial quality.,Critical speed distance-time model.,readyForImplementation,Critical Speed Lab
mtd_040,3-Point Critical Speed Regression,Critical Speed,/critical-speed,distance = CS × time + D′; CS = regression slope,trialDistances | trialTimes,,m/s | km/h | sec/km,Model Estimate,Requires at least three valid maximal trials; outliers must be visible.,Linear regression distance-time model.,readyForImplementation,Critical Speed Lab | Field Test Protocols
mtd_041,Critical Pace from Critical Speed,Critical Speed,/critical-speed,criticalPace_sec_per_km = 1000 / CS_m_s,criticalSpeed_m_s,,sec/km | min/km,Model Estimate,Only as valid as the CS estimate.,Core speed-to-pace conversion.,readyForImplementation,Critical Speed Lab | Pace Calculator
mtd_042,D Prime Time-to-Exhaustion Above CS,Critical Speed,/critical-speed,TTE = D′ / (targetSpeed - CS),DPrime | targetSpeed | criticalSpeed,,seconds,Model Estimate,Only valid when targetSpeed > CS; real-world fatigue is more complex.,Critical speed model application.,readyForImplementation,Critical Speed Lab | Workout Calculator
mtd_043,Speed from CS and D′ for Target Duration,Critical Speed,/critical-speed,targetSpeed = CS + D′ / targetDuration,criticalSpeed | DPrime | targetDuration,,m/s | pace,Model Estimate,Model estimate; not a workout prescription.,Critical speed model application.,readyForImplementation,Critical Speed Lab | Race Predictor
mtd_044,CS Model Residual,Critical Speed Quality,/critical-speed,residual = observedDistance - predictedDistance,observedDistance | predictedDistance,,m,Quality Check,Used for model fit inspection; not a performance score.,Regression quality-control metric.,readyForImplementation,Critical Speed Lab
mtd_045,CS Regression R-Squared,Critical Speed Quality,/critical-speed,R² = 1 - SSE / SST,observedDistances | predictedDistances,,unitless,Quality Check,High R² does not guarantee physiological validity if trials are poor.,Regression fit statistic.,readyForImplementation,Critical Speed Lab
mtd_046,Race-Derived Pace Zone Factor,Training Zones,/zones,zonePace = anchorRacePace × factorRange,anchorRacePace | factorRange,,paceRange,Estimate,Factor ranges must be transparent and editable; different systems use different ranges.,Generic deterministic zone derivation from manual race input.,readyForImplementation,Training Pace Lab | Formula Library
mtd_047,Threshold Pace Zone Factor,Training Zones,/zones,zonePace = thresholdPace × factorRange,thresholdPace | factorRange,,paceRange,Estimate,Field threshold pace may be inaccurate; factor model must be disclosed.,Generic threshold-based pace zone derivation.,readyForImplementation,Training Pace Lab | Field Test Protocols
mtd_048,Critical Speed Zone Factor,Training Zones,/zones,zoneSpeed = criticalSpeed × factorRange,criticalSpeed | factorRange,,speedRange | paceRange,Estimate,CS-derived zones depend on model quality and factor choices.,Generic critical-speed zone derivation.,readyForImplementation,Critical Speed Lab | Training Pace Lab
mtd_049,80/20 Time Distribution,Training Distribution,/load,lowIntensityTime = totalTrainingTime × 0.80; highIntensityTime = totalTrainingTime × 0.20,totalTrainingTime | distributionPercent,,minutes | hours | percent,Planning Estimate,"Distribution target is a planning summary, not an automatic prescription.",Training-intensity distribution metadata; percentages must remain user-visible.,readyForImplementation,Load Lab | Training Distribution
mtd_050,Polarized Distribution Summary,Training Distribution,/load,zoneShare% = zoneTime / totalTime × 100,zoneTime | totalTime,,percent,Formula,Interpretation depends on zone model and accurate activity labeling.,Time-in-zone arithmetic.,readyForImplementation,Load Lab | Training Distribution
mtd_051,Rep Time from Distance and Pace,Workout Structure,/workouts,repTime = repDistance × repPace,repDistance | repPace,,time,Formula,Assumes constant rep pace.,Core interval calculation.,readyForImplementation,Workout Structure Calculator | Workout Library
mtd_052,Total Work Distance,Workout Structure,/workouts,totalWorkDistance = reps × repDistance,reps | repDistance,,m | km,Formula,"For mixed workouts, sum each segment separately.",Core interval calculation.,readyForImplementation,Workout Structure Calculator | Workout Library
mtd_053,Total Work Time,Workout Structure,/workouts,totalWorkTime = reps × repTime,reps | repTime,,time,Formula,"For mixed workouts, use sum of each segment.",Core interval calculation.,readyForImplementation,Workout Structure Calculator | Workout Library
mtd_054,Total Rest Time,Workout Structure,/workouts,totalRestTime = recoveries × recoveryDuration,recoveries | recoveryDuration,,time,Formula,Last recovery may be excluded depending workout design; UI must specify rule.,Core interval calculation.,readyForImplementation,Workout Structure Calculator | Workout Library
mtd_055,Session Duration Estimate,Workout Structure,/workouts,sessionDuration = warmup + mainSet + recovery + cooldown,warmupDuration | mainSetDuration | recoveryDuration | cooldownDuration,,time,Formula,Only as accurate as entered segment durations.,Core workout calculation.,readyForImplementation,Workout Structure Calculator | Workout Library
mtd_056,Work-to-Rest Ratio,Workout Structure,/workouts,workRestRatio = workDuration / restDuration,workDuration | restDuration,,ratio,Formula,Does not capture intensity or recovery quality.,Core interval structure metric.,readyForImplementation,Workout Structure Calculator
mtd_057,Total Quality Distance,Workout Structure,/workouts,qualityDistance = sum(distance of segments tagged moderate/high intensity),segments | intensityTags,,m | km,Formula,Depends on correct segment tagging.,Workout analysis metric.,readyForImplementation,Workout Structure Calculator | Load Lab
mtd_058,Total Quality Time,Workout Structure,/workouts,qualityTime = sum(duration of segments tagged moderate/high intensity),segments | intensityTags,,time,Formula,Depends on correct segment tagging.,Workout analysis metric.,readyForImplementation,Workout Structure Calculator | Load Lab
mtd_059,Ladder Split Calculator,Workout Structure,/workouts,segmentTime_i = segmentDistance_i × targetPace_i,segmentDistances | targetPaces,,time | pace,Formula,Requires target pace per segment or shared pace rule.,Core mixed-interval calculation.,readyForImplementation,Workout Structure Calculator | Workout Library
mtd_060,Pyramid Split Calculator,Workout Structure,/workouts,segmentTime_i = segmentDistance_i × targetPace_i; total = Σ segmentTime_i,segmentDistances | targetPaces,,time | pace | totalWorkTime,Formula,Requires clear segment list and target pace rule.,Core mixed-interval calculation.,readyForImplementation,Workout Structure Calculator | Workout Library
mtd_061,Session RPE Load,Training Load,/load,load = duration_minutes × sessionRPE,durationMinutes | sessionRPE,,AU,Field Metric,"Subjective; affected by mood, heat, sleep, and interpretation of RPE scale.",Common session-RPE training load method.,readyForImplementation,Load Lab | Recovery Check
mtd_062,Weekly Load Sum,Training Load,/load,weeklyLoad = Σ dailyLoad,dailyLoads,,AU | minutes | km,Formula,Only summarizes entered load; not injury prediction.,Core aggregation.,readyForImplementation,Load Lab | Training Summary
mtd_063,Training Monotony,Training Load,/load,monotony = mean(dailyLoad) / standardDeviation(dailyLoad),dailyLoads,,unitless,Estimate,Can be unstable when standard deviation is very small; not a diagnosis.,Simple load-distribution metric.,readyForImplementation,Load Lab
mtd_064,Training Strain,Training Load,/load,strain = weeklyLoad × monotony,weeklyLoad | monotony,,AU,Estimate,Interpretation is limited; should not be used as automatic injury prediction.,Training load summary metric.,readyForImplementation,Load Lab
mtd_065,Acute Chronic Workload Ratio,Training Load,/load,ACWR = acuteLoad / chronicLoad,acuteLoad | chronicLoad,,ratio,Cautionary Metric,Controversial as injury predictor; use only as descriptive load ratio with warnings.,"Descriptive workload ratio, not a safety guarantee.",optionalWithWarning,Load Lab
mtd_066,Rolling Average Load,Training Load,/load,rollingAverage = mean(load over selected window),loads | windowLength,,AU | km | minutes,Formula,Window choice changes interpretation.,Core time-series aggregation.,readyForImplementation,Load Lab | Trend Lab
mtd_067,Load Delta Percent,Training Load,/load,delta% = (currentLoad - previousLoad) / previousLoad × 100,currentLoad | previousLoad,,percent,Formula,Cannot determine whether change is safe by itself.,Simple comparative metric.,readyForImplementation,Load Lab | Trend Lab
mtd_068,Time in Zone Sum,Training Load,/load,zoneTime_i = Σ duration in zone_i,zoneDurations,,minutes | percent,Formula,Depends on selected zone model and accurate activity data/manual input.,Core zone aggregation.,readyForImplementation,Load Lab | Zone Lab
mtd_069,Carbohydrate per Hour,Fuel & Hydration,/fuel-hydration,carb_g_per_hour = totalCarb_g / duration_hours,totalCarb_g | duration_hours,,g/h,Formula,Calculates observed intake only; not individualized medical nutrition advice.,Core fueling arithmetic.,readyForImplementation,Fuel & Hydration Lab | Long Run Fueling Test
mtd_070,Total Carbohydrate Target,Fuel & Hydration,/fuel-hydration,totalCarb_g = carb_g_per_hour × duration_hours,carb_g_per_hour | duration_hours,,g,Formula,Target must be user-selected; Track.Lab should not auto-prescribe aggressive intake.,Core fueling planning arithmetic.,readyForImplementation,Fuel & Hydration Lab | Race Planner
mtd_071,Fluid per Hour,Fuel & Hydration,/fuel-hydration,fluid_L_per_hour = totalFluid_L / duration_hours,totalFluid_L | duration_hours,,L/h | mL/h,Formula,Observed intake only; fluid needs are condition-specific.,Core hydration arithmetic.,readyForImplementation,Fuel & Hydration Lab | Long Run Fueling Test
mtd_072,Total Fluid Target,Fuel & Hydration,/fuel-hydration,totalFluid_L = fluid_L_per_hour × duration_hours,fluid_L_per_hour | duration_hours,,L | mL,Formula,Target must be user-selected; avoid overdrinking warnings required.,Core hydration planning arithmetic.,readyForImplementation,Fuel & Hydration Lab | Race Planner
mtd_073,Sodium per Hour,Fuel & Hydration,/fuel-hydration,sodium_mg_per_hour = totalSodium_mg / duration_hours,totalSodium_mg | duration_hours,,mg/h,Formula,"Observed intake only; sodium needs vary by sweat rate, diet, heat, and medical factors.",Core sodium intake arithmetic.,readyForImplementation,Fuel & Hydration Lab | Long Run Fueling Test
mtd_074,Sodium Concentration,Fuel & Hydration,/fuel-hydration,sodium_mg_per_L = totalSodium_mg / totalFluid_L,totalSodium_mg | totalFluid_L,,mg/L,Formula,Requires total fluid > 0; product labels may be approximate.,Core concentration calculation.,readyForImplementation,Fuel & Hydration Lab
mtd_075,Sweat Loss Estimate,Fuel & Hydration,/field-tests,sweatLoss_L = preWeight_kg - postWeight_kg + fluidIntake_L - urineOutput_L,preWeight_kg | postWeight_kg | fluidIntake_L,,L,Field Estimate,"Assumes 1 kg body mass change ≈ 1 L fluid; affected by clothing, scale, gut content, and unrecorded output.",Field sweat-rate method.,readyForImplementation,Field Test Protocols | Fuel & Hydration Lab
mtd_076,Sweat Rate Estimate,Fuel & Hydration,/field-tests,sweatRate_L_h = sweatLoss_L / duration_hours,sweatLoss_L | duration_hours,,L/h,Field Estimate,"Condition-specific; do not generalize across heat, humidity, intensity, or clothing.",Field sweat-rate method.,readyForImplementation,Field Test Protocols | Fuel & Hydration Lab
mtd_077,Body Mass Loss Percent,Fuel & Hydration,/field-tests,bodyMassLoss% = (preWeight_kg - postWeight_kg) / preWeight_kg × 100,preWeight_kg | postWeight_kg,,percent,Field Metric,Affected by scale precision and clothing water retention.,Core field hydration metric.,readyForImplementation,Field Test Protocols | Fuel & Hydration Lab
mtd_078,Fueling Timeline Segment,Fuel & Hydration,/fuel-hydration,carbPerSegment = totalCarb_g / numberOfSegments,totalCarb_g | numberOfSegments,,g/segment,Formula,Timeline structure only; tolerance must be practiced manually.,Core fueling schedule arithmetic.,readyForImplementation,Fuel & Hydration Lab | Race Planner
mtd_079,Bottle Mix Concentration,Fuel & Hydration,/fuel-hydration,concentration_g_per_L = carb_g / fluid_L,carb_g | fluid_L,,g/L | percent w/v,Formula,Does not guarantee gut tolerance; product solubility varies.,Core drink-mix arithmetic.,readyForImplementation,Fuel & Hydration Lab | DIY Mix Calculator
mtd_080,Carbohydrate Percent Weight/Volume,Fuel & Hydration,/fuel-hydration,percent_wv = carb_g / fluid_mL × 100,carb_g | fluid_mL,,percent,Formula,Simple concentration only; not medical nutrition guidance.,Core concentration calculation.,readyForImplementation,Fuel & Hydration Lab | DIY Mix Calculator
mtd_081,Treadmill Pace from Speed,Treadmill,/treadmill,pace_sec_per_km = 3600 / speed_kmh,speed_kmh,,sec/km | min/km,Formula,Treadmill displayed speed may be miscalibrated.,Core treadmill conversion.,readyForImplementation,Treadmill Calculator | Pace Calculator
mtd_082,Treadmill Speed from Pace,Treadmill,/treadmill,speed_kmh = 3600 / pace_sec_per_km,pace_sec_per_km,,km/h,Formula,Treadmill displayed speed may not equal belt speed exactly.,Core treadmill conversion.,readyForImplementation,Treadmill Calculator | Pace Calculator
mtd_083,ACSM Running VO2 Equation,Treadmill / Metabolic,/treadmill,VO2 = 0.2 × speed_m_min + 0.9 × speed_m_min × grade + 3.5,speed_m_min | grade_decimal,,ml/kg/min | MET,Estimate,Estimate for steady-state running; not a lab measurement and may not fit every runner.,ACSM metabolic equation commonly used for treadmill running estimates.,readyForImplementation,Treadmill Calculator | VO2 Lab
mtd_084,ACSM Walking VO2 Equation,Treadmill / Metabolic,/treadmill,VO2 = 0.1 × speed_m_min + 1.8 × speed_m_min × grade + 3.5,speed_m_min | grade_decimal,,ml/kg/min | MET,Estimate,Estimate for walking; less appropriate for running speeds.,ACSM metabolic equation commonly used for treadmill walking estimates.,readyForImplementation,Treadmill Calculator | VO2 Lab
mtd_085,Treadmill Calibration Error Percent,Treadmill,/field-tests,error% = (displaySpeed - measuredSpeed) / measuredSpeed × 100,displaySpeed | measuredSpeed,,percent,Field Estimate,Consumer calibration test only; not certified equipment calibration.,Field equipment check.,readyForImplementation,Field Test Protocols | Treadmill Calculator
mtd_086,Grade Percent,Elevation,/elevation,grade% = elevationGain / horizontalDistance × 100,elevationGain | horizontalDistance,,percent,Formula,GPS/barometer elevation errors can be large; grade varies by segment.,Core elevation calculation.,readyForImplementation,Elevation Calculator | Trail Run Calculator
mtd_087,Elevation Gain per Kilometer,Elevation,/elevation,gainPerKm = elevationGain_m / distance_km,elevationGain_m | distance_km,,m/km,Formula,Does not reflect technical terrain or descent load.,Core elevation summary.,readyForImplementation,Elevation Calculator | Trail Run Calculator
mtd_088,Heat Index Metadata Placeholder,Environment,/environment,"heatIndex = function(temperature, humidity)",temperature | humidity,,temperatureEquivalent,Requires Formula Selection,Requires validated formula selection and units; avoid hidden assumptions.,Metadata placeholder; implement only with explicit formula and source note.,plannedNeedsFormulaSelection,Environment Lab
mtd_089,Dew Point Metadata Placeholder,Environment,/environment,"dewPoint = function(temperature, relativeHumidity)",temperature | relativeHumidity,,temperature,Requires Formula Selection,Multiple approximations exist; formula must be disclosed.,Metadata placeholder; implement only with explicit formula and source note.,plannedNeedsFormulaSelection,Environment Lab
mtd_090,Wind Pace Impact Placeholder,Environment,/environment,"paceAdjustment = function(windSpeed, windDirection, runnerSpeed)",windSpeed | windDirection | runnerSpeed,,paceAdjustment,Low / Placeholder,Complex aerodynamic model; do not implement as precise unless model is explicitly selected and validated.,Metadata placeholder only.,researchOnly,Environment Lab | Race Planner
mtd_091,Cadence Steps per Minute,Biomechanics,/biomechanics,cadence_spm = steps / (duration_sec / 60),steps | duration_sec,,steps/min,Formula,Requires accurate step count and stable segment duration.,Core biomechanics arithmetic.,readyForImplementation,Biomechanics Lab | Field Test Protocols
mtd_092,Step Length from Distance and Steps,Biomechanics,/biomechanics,stepLength_m = distance_m / steps,distance_m | steps,,m/step,Formula,Clarify step length vs stride-cycle length in UI.,Core biomechanics arithmetic.,readyForImplementation,Biomechanics Lab | Field Test Protocols
mtd_093,Stride-Cycle Length,Biomechanics,/biomechanics,strideCycleLength_m = 2 × stepLength_m,stepLength_m,,m/stride-cycle,Formula,Terminology varies; UI must label this clearly.,Core biomechanics conversion.,readyForImplementation,Biomechanics Lab
mtd_094,Stride Length from Speed and Cadence,Biomechanics,/biomechanics,stepLength_m = speed_m_s × 60 / cadence_spm,speed_m_s | cadence_spm,,m/step,Formula,Assumes stable speed and cadence over the measured segment.,Core speed-cadence-stride relationship.,readyForImplementation,Biomechanics Lab | Pace Calculator
mtd_095,Total Steps Estimate,Biomechanics,/biomechanics,steps = cadence_spm × duration_minutes,cadence_spm | duration_minutes,,steps,Formula,Only valid if cadence is stable for the duration.,Simple step estimate.,readyForImplementation,Biomechanics Lab
mtd_096,Ground Contact Ratio Placeholder,Biomechanics,/biomechanics,ratio = groundContactTime / strideCycleTime,groundContactTime | strideCycleTime,,percent,Requires Sensor/Input,Requires wearable sensor data; Track.Lab manual mode should avoid fake values.,Metadata placeholder only for manual/wearable input.,optionalManualOnly,Biomechanics Lab
mtd_097,Vertical Ratio Placeholder,Biomechanics,/biomechanics,verticalRatio = verticalOscillation / strideLength × 100,verticalOscillation | strideLength,,percent,Requires Sensor/Input,Requires reliable wearable data; not a standalone form diagnosis.,Metadata placeholder only for manual/wearable input.,optionalManualOnly,Biomechanics Lab
mtd_098,Sleep Duration Delta,Recovery,/recovery,sleepDelta = currentSleepHours - baselineSleepHours,currentSleepHours | baselineSleepHours,,hours,Trend Metric,Descriptive only; does not score readiness automatically.,Manual self-monitoring metric.,readyForImplementation,Recovery Check
mtd_099,Body Weight Delta Percent,Recovery / Body Metrics,/recovery,weightDelta% = (currentWeight - baselineWeight) / baselineWeight × 100,currentWeight | baselineWeight,,percent,Trend Metric,"Weight fluctuates with hydration, food, and measurement conditions.",Simple trend metric.,readyForImplementation,Recovery Check | Fuel & Hydration Lab
mtd_100,Subjective Wellness Sum,Recovery,/recovery,wellnessScore = Σ selectedManualRatings,manualRatings,,score,Manual Score,Subjective and user-defined; should not become AI readiness advice.,Manual wellness aggregation.,readyForImplementation,Recovery Check
